Index,NumberOfTweets,NumberOfRetweets,NumberOfFollowers,MaxFollowers,Time
401,72,2,476744,99246,6
402,115,6,548977,32027,7
403,243,30,2769712,1245784,8
404,200,12,1131536,339740,9
405,152,9,1213548,99282,10
406,182,5,865655,61625,11
407,152,5,1409937,339818,12
408,195,14,2896797,1116963,13
409,134,8,665589,61644,14
410,123,3,496763,92915,15
411,74,1,524669,88719,16
412,75,8,1516212,1117321,17
413,62,2,666831,339939,18
414,64,2,284325,34356,19
415,83,0,593866,339955,20
416,80,1,212863,14536,21
417,41,0,143585,49515,22
418,22,0,75870,18900,23
419,20,0,42018,10019,0
420,41,0,77850,18903,1
421,45,0,70993,18904,2
422,40,0,190324,73539,3
423,59,3,220077,38439,4
424,49,1,495941,261471,5
425,111,3,660815,99393,6
426,152,5,1026883,99404,7
427,211,6,1007878,65837,8
428,175,4,848520,99423,9
429,103,1,571034,61754,10
430,158,5,999604,87419,11
431,173,5,896568,61757,12
432,131,12,764706,82360,13
433,191,3,759662,61765,14
434,107,3,895961,126735,15
435,113,5,850243,88190,16
436,104,5,567919,52078,17
437,154,2,1009185,126745,18
438,101,4,568945,87964,19
439,61,1,339970,46598,20
440,63,1,329686,65825,21
441,30,0,50647,18923,22
442,5,0,7699,7343,23
443,25,1,107537,33840,0
444,7,0,30740,18924,1
445,5,0,36027,22645,2
446,14,0,54189,18924,3
447,36,2,719264,340474,4
448,31,2,238180,46601,5
449,56,1,226234,46606,6
